AreaID;AreaCode;SiteName;Country;State/Province;Latitude;Longitude;Lat10;Long10;Altitude;Alt SRTM;Domain;DomN;EcoUnit;FitGeoN;Asp Ocean;Thermic realm;Elevation range;Zonal Azonal;Climatic regime;Leaf flush;Vegetation physiognomy;Vegetation type;CdVg;Main vegetation type;TempCorrection;PrecipCorrection;TempAnn;TempDayRng;Isotherm;TempSeas;TempMax;TempMin;TempAnnRng;PrecAnn;PrecWetP;PrecDryP;PrecSeas;WaterDefDur;WaterDefSev;WaterExcDur;WaterExcSev;HyperSeas;DaysFrost;CloudItcp;Grassy Cover;Surface Rockiness;Ranked Rockiness;Soil Texture Class;Ranked Sand;Soil Drainage Class;Ranked Drainage;Soil Water Storage;Soil Fertility Class;Ranked TBS;Salinity Class;Ranked Salinity
8655;NeaMX001;Badiraguato, Cerro El zacate, bosque mixto de serranias;Mexico;Sinaloa;25°20’55”N;107°36’27”W;25.3486;-107.6075;848;649;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Upper hills;(Zonal);Seasonally dry;Semideciduous;Needle-broadleaved Forest;Subtropical Upper hills Seasonally dry Semideciduous Needle-broadleaved Forest;123;Mixed forest;-1;1.05;21.8;15.8;60;388;34.3;7.9;26.4;1056;270;8;110;135;107;110;567;64;3;0;0;Intermediate (10-30% exposed rock);20;Silty clay loam (20-30% sand);25;Excessively;5;41;Dystrophic (10-25% TBS);17;No salinity;0
8656;NeaMX002;Cosala, bosque mixto de serranias;Mexico;Sinaloa;24°23’11”N;106°41’17”W;24.3864;-106.6881;714;414;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Upper hills;(Zonal);Seasonally dry;Semideciduous;Needle-broadleaved Forest;Subtropical Upper hills Seasonally dry Semideciduous Needle-broadleaved Forest;123;Mixed forest;-1.5;1.08;23.1;14.4;58;353;34.6;9.9;24.7;1054;278;5;114;170;159;110;578;70;0;0;0;Intermediate (10-30% exposed rock);20;Silty clay loam (20-30% sand);25;Somewhat Excessively;20;49;Dystrophic (10-25% TBS);17;No salinity;0
8700;NeaMX003;Laguna Juarez, bosque mixto alto-montano;Mexico;Baja California;32°01’24”N;115°54’34”W;32.0233;-115.9094;1692;1671;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Upper highlands;(Zonal);Seasonally dry;Semideciduous;Needle-broadleaved Forest;Subtropical Upper highlands Seasonally dry Semideciduous Needle-broadleaved Forest;125;Mixed forest;0;1.15;12.1;13.5;47;590;28.3;-0.4;28.7;438;77;2;62;145;72;0;762;190;199;46;0;High (30-60% exposed rock);45;Silty clay loam (20-30% sand);25;Excessively;5;35;Dystrophic (10-25% TBS);17;No salinity;0
8701;NeaMX004;Sierra San Pedro Martir, La Grulla, bosque mixto subalpino;Mexico;Baja California;30°53’15”N;115°28’43”W;30.8875;-115.4786;2078;2097;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Sub-alpine;(Zonal);Seasonally dry;Semideciduous;Needle-broadleaved Forest;Subtropical Sub-alpine Seasonally dry Semideciduous Needle-broadleaved Forest;126;Mixed forest;0;1;10.1;12.9;51;472;24.3;-0.9;25.2;625;130;2;87;120;55;65;631;110;230;81;0;High (30-60% exposed rock);45;Clay loam (30-40% sand);35;Excessively;5;33;Dystrophic (10-25% TBS);17;No salinity;0
8702;NeaMX005;Sierra de La Laguna, bosque mixto subalpino;Mexico;Baja California Sur;23°32’25”N;109°57’28”W;23.5403;-109.9578;2035;1738;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Tropical;Sub-alpine;(Zonal);Seasonally dry;Semideciduous;Needle-broadleaved Forest;Tropical Sub-alpine Seasonally dry Semideciduous Needle-broadleaved Forest;126;Mixed forest;-1.5;1.03;13.7;13.3;60;353;24.3;2;22.3;636;171;0;118;155;115;80;710;130;150;81;0;High (30-60% exposed rock);45;Clay loam (30-40% sand);35;Excessively;5;33;Dystrophic (10-25% TBS);17;No salinity;0
8703;NeaMX006;El Picacho del Diablo, bosque mixto alpino superior;Mexico;Baja California;31°02’05”N;115°27’18”W;31.0347;-115.455;2703;2308;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Alpine;(Zonal);Seasonally dry;Semideciduous;Needle-broadleaved Forest;Subtropical Alpine Seasonally dry Semideciduous Needle-broadleaved Forest;128;Mixed forest;-2;1.03;7.2;12.4;50;476;21.2;-3.8;25;675;130;3;80;65;28;75;584;91;280;114;0;High (30-60% exposed rock);45;Clay loam (30-40% sand);35;Excessively;5;33;Dystrophic (10-25% TBS);17;No salinity;0
8657;NeaMX007;El Fuerte, Rio Sinaloa, bosque estacional ribereño;Mexico;Sinaloa;26°24’43”N;108°38’34”W;26.4119;-108.6428;74;79;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lowland;Riverine;Seasonally dry;Semideciduous;Broadleaved Forest;Subtropical Lowland Riverine Seasonally dry Semideciduous Broadleaved Forest;129;Seasonal riverine forest;0;1;24.5;18.5;58;522;39.3;7.6;31.7;559;161;2;122;255;256;70;755;181;4;0;0;Absent to Low (0-10% exposed rock);5;Clay loam (30-40% sand);35;Imperfectly;65;73;Mesotrophic (25-50% TBS);37;No salinity;0
8658;NeaMX008;Bebelama, Arroyo de San Lorenzo, bosque estacional ribereño;Mexico;Sinaloa;24°26’03”N;107°03’50”W;24.4342;-107.0639;74;93;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lowland;Riverine;Seasonally dry;Semideciduous;Broadleaved Forest;Subtropical Lowland Riverine Seasonally dry Semideciduous Broadleaved Forest;129;Seasonal riverine forest;0;1;25.3;15.1;60;385;36.3;11.1;25.2;607;173;1;119;255;262;80;730;163;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Imperfectly;65;70;Mesotrophic (25-50% TBS);37;No salinity;0
8659;NeaMX009;Puente El Gavilan, Rio Sonora bosque estacional ribereño;Mexico;Sonora;29°19’26”N;110°32’12”W;29.3239;-110.5367;349;439;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;Riverine;Seasonally dry;Semideciduous;Broadleaved Forest;Subtropical Lower hills Riverine Seasonally dry Semideciduous Broadleaved Forest;143;Seasonal riverine forest;0;1;22.7;16.8;53;610;38.2;6.5;31.7;466;144;4;116;255;222;45;791;217;6;0;0;Absent to Low (0-10% exposed rock);5;Clay loam (30-40% sand);35;Imperfectly;65;73;Mesotrophic (25-50% TBS);37;No salinity;0
8660;NeaMX010;El Realito, Rio Yaqui, bosque estacional ribereño;Mexico;Sonora;28°20’53”N;109°36’25”W;28.3481;-109.6069;142;199;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;Riverine;Seasonally dry;Semideciduous;Broadleaved Forest;Subtropical Lower hills Riverine Seasonally dry Semideciduous Broadleaved Forest;143;Seasonal riverine forest;0;1;24.4;18.7;57;556;39.9;7;32.9;539;146;3;111;240;225;60;750;181;4;0;0;Absent to Low (0-10% exposed rock);5;Clay loam (30-40% sand);35;Imperfectly;65;73;Mesotrophic (25-50% TBS);37;No salinity;0
