,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Cell_76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cell_131,276.7222222,103.1111111,78.66666667,456.8055556,341.1111111,210.4722222,130.6388889,274.5833333,275.0277778,281.8055556,270.25,1183.972222,199.5555556,11.13888889,63.52777778,501.3611111,47.47222222,274.8055556,256.75
Cell_195,271.0555556,108.8333333,71.47222222,778.8611111,353.25,202,151.25,263.1666667,275.3333333,282.3333333,262.8611111,1340.75,235.8888889,5.194444444,77.86111111,673.5833333,20.5,191.4722222,669.1388889
Cell_196,270,109,74.44444444,793.8055556,346.2777778,200.6666667,145.6111111,263.0833333,272.5833333,282.0277778,262.5,1190.555556,221.4166667,2.222222222,81.97222222,624.5,12.66666667,213.4444444,517.0277778
Cell_199,261.6666667,107.5833333,80.52777778,528.4444444,328.6944444,195.8333333,132.8611111,259.25,258.1111111,268,255.2222222,990.1111111,180.9444444,7.138888889,74.05555556,506.1666667,36.47222222,135.8333333,62.16666667
Cell_200,267.0277778,100.0833333,78.41666667,592.1111111,330.6388889,203.7777778,126.8611111,265.6111111,266.6944444,272.7222222,258.4722222,1099.361111,181.5833333,15.83333333,61.22222222,518.0277778,70.08333333,168.2777778,141.1111111
Cell_201,264.0833333,90.55555556,79.19444444,609.0555556,319.6666667,205.9166667,113.75,264.6111111,262.3888889,269.3888889,254.4444444,1385.5,211.0833333,38.77777778,47.11111111,573.9166667,140.5,359.1944444,258.5277778
Cell_254,272.5277778,101.1388889,78.41666667,577.0277778,341.3611111,213.2222222,128.1388889,267.0555556,273.5,281.2222222,266.6666667,1398.111111,276.8333333,3.583333333,85.36111111,761.0555556,16.05555556,192.6111111,751.6944444
Cell_257,267.7777778,98.75,79.02777778,618.0277778,332.9166667,208.8055556,124.1111111,264.3333333,263.8611111,274.6944444,259.7222222,1052.888889,182,10.80555556,66.08333333,515.9722222,55.75,158.6666667,106.25
Cell_258,255.1944444,95.75,81.30555556,556.7777778,315.0277778,197.8611111,117.1666667,253.8055556,254.9722222,260,246.7222222,1190.277778,197.9444444,32.86111111,52.75,529.5555556,116.9166667,237.0833333,193.6666667
Cell_302,229.6111111,100.0833333,84.63888889,434.6388889,287.8333333,170.3055556,117.5277778,227.25,230.0555556,234.8055556,223.8055556,3523.861111,443.9722222,84.27777778,43.30555556,1235,321.2222222,785.5555556,965.4444444
Cell_305,194.1388889,101.6944444,82.41666667,364.6388889,254.3333333,131.8055556,122.5277778,192.5,192,198,189.1944444,2407.888889,358.8333333,48.33333333,51.05555556,970.25,187.8611111,503.0833333,628.5833333
Cell_306,264.25,103.4444444,78.44444444,511.4722222,333.4166667,202.5277778,130.8888889,258.2777778,265.8888889,270.3055556,257.3055556,2026.833333,327.6111111,16.33333333,62.80555556,879.6944444,87.27777778,274.6111111,818.7222222
Cell_310,276.8333333,97.52777778,71.08333333,845.8611111,354.75,218.5,136.25,266.3333333,278.2777778,288.3888889,265.9166667,1826.944444,376.8055556,2.166666667,89.19444444,1033.944444,19.27777778,107.7222222,1027.888889
Cell_311,268.9722222,101.0277778,74.44444444,648.9444444,343.8611111,208.8055556,135.0555556,261.1944444,272.1388889,277.6944444,261.1944444,1779.166667,354.5833333,9.166666667,85.97222222,995.5833333,37.08333333,177.2222222,995.5833333
Cell_314,260.0555556,99.75,81.05555556,563.3333333,325.3055556,203,122.3055556,255.5555556,257.7222222,267.5555556,254.1388889,1457.166667,265.6944444,20.61111111,69.30555556,745,84.52777778,230.4444444,207
Cell_358,215.0833333,102.1666667,88.11111111,331.2777778,275.5277778,160.1111111,115.4166667,212.25,216.5,218.9444444,210.4722222,3708.583333,414.5,174.8333333,28.44444444,1132.361111,579.8611111,772.4722222,1030.861111
Cell_359,205.7222222,96.5,89.25,343.1388889,260.6666667,153.1111111,107.5555556,202.5277778,204.5277778,209.4166667,200.6111111,2654.055556,353.4722222,92.86111111,37.33333333,906.9444444,350.0555556,688.3333333,758.0277778
Cell_360,250.9722222,97.75,88.77777778,288.25,307.3333333,197.75,109.5833333,247.9444444,251.6388889,253.75,246.8611111,2544.111111,358.25,78.16666667,39.97222222,877.2222222,337.4444444,539.5,809.1666667
Cell_362,177.9444444,100.4444444,79.63888889,537.4166667,244.7777778,119.4722222,125.3055556,174.2222222,180.5,184.6111111,170.75,2265.361111,341.4166667,24.91666667,55.36111111,925.1388889,135.8611111,367.75,846.5555556
Cell_363,265.2777778,98.38888889,77.41666667,763.2777778,337.0555556,210.8333333,126.2222222,255.1111111,270.1944444,274.9166667,254.6388889,2238.972222,359.5,15.75,62.11111111,952.1111111,93.77777778,301.5833333,947.3611111
Cell_364,271.0833333,93.11111111,71.61111111,839.9166667,344.7777778,215.5555556,129.2222222,259.7777778,275.8055556,282.0555556,259.7777778,2120.611111,344.25,8.416666667,66.69444444,950.1111111,62.08333333,280.3888889,950.1111111
Cell_366,280.9444444,96.58333333,71.94444444,962.5277778,358.3611111,224.9444444,133.4166667,268.3055556,287.0833333,294.0277778,268.1111111,2231.166667,397.0277778,14.5,74.11111111,1122.694444,74.47222222,221.5,1122.083333
Cell_367,270.2222222,103.25,72.97222222,919.5,351.0833333,210.5833333,140.5,258.1111111,278.3611111,282.7777778,257.9444444,2365.527778,428.6944444,15.83333333,75.86111111,1214.861111,80.61111111,214.8888889,1214.388889
Cell_376,264.3333333,74.11111111,79.52777778,510.5,314.6944444,221.9722222,92.72222222,262.4722222,268.8333333,271.4166667,258.1388889,1979.944444,271.6111111,92.05555556,37.02777778,753.9444444,320.6944444,322.8611111,400.9166667
Cell_414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cell_415,217.6111111,99.80555556,91.69444444,251.1111111,273.2222222,164.8611111,108.3611111,214.8888889,218.2222222,219.9166667,213.6388889,4121.194444,475.1666667,237.4444444,23.58333333,1289.027778,780.75,965.3611111,1225.25
Cell_416,189.5277778,93.36111111,88.08333333,299.5833333,244.4444444,138.8333333,105.6111111,186.3055556,189.75,192.0277778,184.8333333,2298.861111,308.25,102.4444444,34.11111111,777.5277778,380.7777778,547.3888889,727.3611111
Cell_417,174.5833333,94.5,83.72222222,325.6666667,231.0555556,118.1388889,112.9166667,173.3333333,173.9722222,178.4444444,170.1666667,1571.833333,219.1111111,59.63888889,38.77777778,542.2222222,232,464.4166667,471
