"Altitude" "TempAnn" "TempDayRng" "Isotherm" "TempSeas" "TempMax" "TempMin" "TempAnnRng" "PrecAnn" "PrecWetP" "PrecDryP" "PrecSeas" "WaterDefDur" "WaterDefSev" "WaterExcDur" "WaterExcSev" "HyperSeas" "DaysFrost" "CloudItcp" "GrassCover" "Rockiness" "Sandiness" "SoilDrain" "SoilWaterStorage" "SoilFert"
"AtlMG018" 578 21.1 11.9 64 213 29.4 10.9 18.5 1491 335 10 89 120 89 185 696 0 0 0 0 5 65 35 50 17
"AtlMG046" 719 21 12.1 65 206 29.4 10.9 18.5 1284 281 10 88 135 95 170 515 0 0 0 0 5 65 35 50 17
"AtlMG054" 775 20.5 11.6 64 212 28.6 10.4 18.2 1391 294 10 89 130 88 180 619 0 0 0 0 5 65 35 50 17
"AtlMG059" 739 20.8 11.6 62 226 29.3 10.5 18.8 1218 229 10 85 140 85 175 461 0 0 0 0 5 55 35 53 17
"AtlMG060" 932 19.3 11.4 62 221 27.5 9.1 18.4 1329 245 13 83 120 65 180 547 0 1 0 0 5 65 35 50 17
"AtlMG064" 1419 16.7 11.3 66 190 24.5 7.3 17.2 1640 334 16 82 65 18 190 347 0 4 133 0 20 65 35 46 17
"AtlMG066" 1402 17 11.2 65 194 24.7 7.5 17.2 1638 332 17 82 60 13 190 342 0 4 144 0 20 65 35 46 17
"AtlMG069" 1541 17.1 10.4 62 177 25.6 8.9 16.7 1557 323 18 79 75 24 190 684 0 1 150 15 80 65 20 24 17
"AtlMG070" 1577 16.2 11.5 64 206 24.1 6.2 17.9 1510 303 17 80 75 16 185 352 0 7 149 15 80 65 20 24 17
"AtlMG071" 1626 15.6 11.1 65 199 23.3 6.1 17.2 1685 338 19 82 75 14 190 826 0 8 171 20 80 65 20 24 17
"AtlMG076" 1087 20.1 12 68 175 28 10.3 17.7 1321 314 3 93 135 104 180 572 0 0 90 15 80 65 20 24 17
"AtlMG077" 1209 19.1 11.3 65 191 27.3 9.8 17.5 1345 293 10 89 125 78 180 573 0 0 102 15 80 85 20 19 5
"AtlMG078" 1116 19.4 10.7 62 182 28.1 10.8 17.3 1437 333 8 91 120 82 180 653 0 0 100 15 80 85 20 19 5
"AtlMG079" 1020 20.3 12.2 66 198 28.5 10 18.5 1295 292 5 93 135 107 170 552 0 0 83 15 80 85 20 19 5
"AtlMG080" 1335 18.6 10.9 63 185 27.2 9.8 17.4 1493 334 11 88 115 66 185 689 0 0 125 15 80 85 20 19 5
"AtlMG081" 1267 18.7 10.8 62 181 27.4 10 17.4 1434 331 8 90 115 76 180 651 0 0 114 15 80 85 20 19 5
"AtlMG082" 1295 18.3 11.4 64 184 26.7 8.9 17.8 1537 314 10 86 115 67 190 737 0 1 124 15 80 85 20 19 5
"AtlMG083" 1113 19.1 11.6 65 186 27.4 9.5 17.9 1558 309 10 86 115 74 195 758 0 0 108 15 80 65 20 24 17
"AtlMG084" 1291 18.6 11.6 65 189 26.8 9 17.8 1579 314 10 85 115 68 195 774 0 1 127 15 80 65 20 24 17
"AtlMG086" 1381 17.6 11.5 66 189 25.4 8 17.4 1575 334 11 88 110 55 190 776 0 3 136 15 80 85 20 19 5
"AtlMG087" 1020 19.6 12.2 66 195 27.6 9.2 18.4 1475 325 12 91 125 73 175 704 0 1 94 15 80 85 20 19 5
"AtlMG088" 1332 17.6 11.5 66 195 25.4 7.9 17.5 1574 339 12 88 105 51 185 769 0 3 131 15 80 85 20 19 5
"AtlMG089" 1207 18.6 12.4 67 193 26.7 8.1 18.6 1509 333 12 90 120 63 180 728 0 2 114 15 80 85 20 19 5
"AtlMG091" 1152 18.5 12.2 67 194 26.5 8.3 18.2 1513 339 12 90 115 61 180 729 0 2 109 15 80 85 20 19 5
"AtlMG092" 1208 17.7 11.5 66 193 25.5 8 17.5 1573 338 14 87 100 44 180 756 0 3 119 15 80 85 20 19 5
"AtlMG093" 1260 17.6 11.2 64 200 25.2 7.8 17.4 1599 332 16 84 95 34 185 760 0 3 126 15 80 85 20 19 5
"AtlMG094" 1305 17.4 11.3 64 203 25.2 7.6 17.6 1581 328 16 85 95 35 185 757 0 3 129 15 80 85 20 19 5
"AtlMG105" 786 20.9 11.7 66 189 29.3 11.5 17.8 1254 274 7 92 135 115 170 511 0 0 0 0 20 55 20 41 17
"AtlMG106" 948 20.6 11.3 64 180 29.1 11.5 17.6 1343 304 6 92 130 107 175 586 0 0 0 0 45 65 20 33 5
"AtlMG107" 738 21.2 11.6 64 190 29.8 11.8 18 1366 302 9 90 130 104 180 597 0 0 0 0 45 65 20 33 5
"AtlMG108" 771 20.6 11.9 65 201 29.1 10.7 18.4 1376 307 9 89 125 89 180 598 0 0 0 0 20 65 35 46 17
"AtlMG109" 947 20 11.5 63 194 28.6 10.4 18.2 1429 326 8 91 125 87 180 652 0 0 0 0 45 65 20 33 5
"AtlMG110" 715 21.1 12.7 65 209 29.7 10.1 19.6 1596 378 8 91 120 85 190 798 0 0 0 0 20 65 35 46 17
"AtlMG111" 847 20.2 11.8 66 196 28.4 10.5 17.9 1567 340 10 88 120 82 190 765 0 0 0 0 20 65 35 46 17
"AtlMG115" 905 20.3 11.8 66 197 28.1 10.3 17.8 1432 313 10 92 130 85 175 671 0 0 0 0 20 65 35 46 17
"AtlMG117" 855 20.5 12.4 66 198 28.6 9.9 18.7 1463 325 12 92 130 81 175 695 0 0 0 0 20 65 35 46 37
"AtlMG119" 842 19.9 11.6 64 208 27.9 9.7 18.2 1430 308 11 89 125 79 180 655 0 0 0 0 5 65 35 50 17
"AtlMG120" 862 21 13.1 68 201 29.3 9.9 19.4 1354 291 10 91 140 94 175 600 0 0 0 0 5 65 35 50 17
"AtlMG121" 722 20 11.5 62 219 28.2 9.7 18.5 1339 264 11 86 125 81 175 571 0 0 0 0 5 65 35 50 17
"AtlMG122" 265 23 12.3 67 205 31.3 12.9 18.4 1410 299 14 88 140 96 175 633 0 0 0 0 20 65 35 46 17
"AtlMG124" 1120 19.1 11.8 64 204 27.6 9.1 18.5 1522 346 9 90 115 73 185 728 0 1 107 0 20 65 50 54 17
"AtlMG125" 1144 19 11.5 64 188 27.5 9.4 18.1 1488 323 8 88 115 77 190 702 0 0 106 0 20 65 35 46 17
"AtlMG126" 1086 19.1 12 65 207 27.4 8.8 18.6 1666 380 9 89 115 69 190 854 0 1 113 0 20 65 50 54 17
"AtlMG128" 1202 18.8 12.4 67 191 26.8 8.3 18.5 1504 333 11 91 120 66 180 726 0 2 113 0 20 65 50 54 17
"AtlMG129" 1228 18 11.6 67 183 25.9 8.6 17.3 1612 338 14 86 105 46 190 789 0 2 124 0 20 65 50 54 17
"AtlMG130" 1077 20 12.9 67 202 28.2 8.9 19.3 1413 327 10 93 135 80 170 656 0 1 95 0 20 65 50 54 37
"AtlMG131" 1134 18.7 12 67 190 26.6 8.8 17.8 1551 340 13 88 105 56 180 750 0 1 110 0 20 65 50 54 37
"AtlMG132" 1136 19.1 12.4 67 199 27.2 8.6 18.6 1452 330 12 91 120 69 175 682 0 1 103 0 20 65 50 54 17
"AtlMG133" 1300 17.3 11.3 64 199 25 7.4 17.6 1601 343 14 86 95 38 185 773 0 3 130 0 20 65 50 54 17
"AtlMG134" 1164 18.7 11.6 65 201 26.5 8.6 17.9 1504 328 13 88 110 57 175 705 0 1 109 0 5 65 50 58 17
"AtlMG135" 1053 18.3 11.6 66 197 26.2 8.5 17.7 1522 321 15 86 105 49 180 715 0 2 100 0 20 65 50 54 17
"AtlMG136" 1279 17.5 11.2 63 211 25.4 7.7 17.7 1541 305 18 83 100 35 185 718 0 3 123 0 20 65 50 54 17
"AtlMG146" 1126 19.8 12 68 171 27.7 10.1 17.6 1325 305 4 91 130 99 180 571 0 0 93 90 80 85 5 11 5
"AtlMG147" 1193 19.6 11.3 65 174 27.9 10.6 17.3 1337 305 6 92 130 95 180 579 0 0 100 90 80 85 5 11 5
"AtlMG149" 1019 20 11.1 63 183 28.6 11 17.6 1378 311 7 91 130 93 175 609 0 0 88 90 80 85 5 11 5
"AtlMG150" 1224 18.6 10.6 62 181 27.2 10.2 17 1450 324 11 89 115 68 185 652 0 0 111 90 80 85 5 11 5
"AtlMG151" 1043 19.8 11.4 63 188 28.4 10.4 18 1363 314 6 91 130 93 175 603 0 0 89 90 80 85 5 11 5
"AtlMG152" 1165 18.8 11.2 63 187 27.4 9.6 17.8 1496 335 9 89 115 72 185 702 0 0 109 90 80 85 5 11 5
"AtlMG153" 1049 19.7 11.8 65 186 28.1 9.9 18.2 1461 306 8 88 125 85 185 682 0 0 96 85 80 85 5 11 5
"AtlMG154" 1279 18.5 11.9 64 194 26.8 8.3 18.5 1554 328 8 88 115 73 190 766 0 1 124 85 80 85 5 11 5
"AtlMG155" 1264 18 11.4 64 187 26.2 8.5 17.7 1601 308 11 84 110 60 200 789 0 1 126 90 80 85 5 11 5
