,cerrado,mata_nebular,mata_riparia,mata_rupicola,mata_seca,mata_semidecidua
Abarema_brachystachya,0,0,1,0,0,1
Abarema_cochliacarpos,0,0,0,0,0,1
Abarema_langsdorffii,0,0,0,0,0,1
Abarema_villosa,0,0,0,0,0,1
Abatia_americana,1,1,0,1,0,0
Acnistus_arborescens,0,1,0,0,0,0
Acosmium_diffusissimum,0,0,0,0,1,0
Acritopappus_irwinii,1,0,0,0,0,0
Acritopappus_pereirae,1,0,0,0,0,0
Acritopappus_subtomentosus,1,0,0,0,0,0
Acrocomia_aculeata,0,0,1,0,1,1
Actinostemon_concolor,0,1,1,1,0,1
Actinostemon_klotzschii,0,0,0,0,0,1
Aegiphila_integrifolia,1,1,1,1,0,1
Aegiphila_mediterranea,0,0,0,1,0,1
Aegiphila_obducta,0,1,0,1,0,1
Aegiphila_verticillata,1,0,0,0,0,0
Agarista_coriifolia,1,1,0,1,0,0
Agarista_eucalyptoides,0,1,0,1,0,1
Agarista_glaberrima,1,1,0,1,0,0
Agarista_oleifolia,0,1,0,1,0,1
Agarista_pulchra,1,1,0,1,0,0
Agonandra_brasiliensis,1,0,1,0,0,0
Agonandra_excelsa,0,0,0,0,0,1
Aiouea_acarodomatifera,0,1,0,0,0,1
Aiouea_erythropus,1,1,0,1,0,0
Aiouea_haussknechtii,0,0,0,1,0,0
Aiouea_montana,0,0,0,1,0,1
Aiouea_pseudoglaziovii,0,0,0,0,0,1
Aiouea_rubrinervia,0,0,0,1,0,1
Aiouea_saligna,0,1,0,1,0,1
Aiouea_sellowiana,0,0,0,0,0,1
Aiouea_stenophylla,0,1,0,0,0,1
Aiouea_tomentosa,0,1,0,1,0,1
Aiouea_trinervis,1,1,0,0,0,0
Albizia_niopoides,0,0,1,0,1,0
Albizia_polycephala,0,0,1,0,0,1
Alchornea_glandulosa,0,0,0,1,0,1
Alchornea_triplinervia,0,1,1,1,0,1
Allagoptera_caudescens,0,0,0,0,0,1
Allophylus_edulis,0,1,0,1,0,1
Allophylus_melanophloeus,0,0,0,0,0,1
Allophylus_racemosus,0,1,1,0,0,1
Allophylus_semidentatus,0,0,0,0,0,1
Aloysia_virgata,0,0,1,0,1,1
Alseis_floribunda,0,0,0,0,1,1
Alsophila_setosa,0,0,0,0,0,1
Alsophila_sternbergii,0,1,0,0,0,1
Amaioua_glomerulata,0,1,0,0,0,0
Amaioua_guianensis,0,1,1,0,0,1
Amaioua_intermedia,0,1,1,1,0,1
Amaioua_pilosa,0,0,0,0,0,1
Anacardium_occidentale,1,0,0,0,0,0
Anadenanthera_colubrina,0,0,0,0,1,1
Anadenanthera_peregrina,1,0,1,0,0,1
Anaxagorea_dolichocarpa,0,0,0,0,0,1
Anaxagorea_silvatica,0,0,0,1,0,0
Andira_fraxinifolia,0,0,1,0,0,1
Andira_legalis,0,0,0,0,0,1
Andira_ormosioides,0,0,0,0,0,1
Andira_vermifuga,1,0,0,0,0,0
Aniba_canelilla,0,0,0,0,0,1
Aniba_desertorum,0,0,0,1,0,0
Aniba_firmula,0,1,0,1,0,1
Aniba_heringeri,0,0,1,0,0,1
Aniba_intermedia,0,0,0,0,0,1
Annona_cacans,0,0,0,0,0,1
Annona_coriacea,1,0,0,0,0,0
Annona_crassiflora,1,0,0,0,0,0
Annona_dolabripetala,0,1,1,1,0,1
Annona_emarginata,0,1,1,0,1,1
Annona_leptopetala,0,0,0,0,1,0
Annona_mucosa,0,0,0,0,0,1
Annona_sylvatica,0,1,1,0,1,1
Antonia_ovata,1,0,1,1,0,1
Aparisthmium_cordatum,0,0,0,0,0,1
Apeiba_tibourbou,0,0,1,0,1,1
Aptandra_tubicina,0,0,0,0,0,1
Apuleia_leiocarpa,0,0,1,0,0,1
Aralia_warmingiana,0,0,0,0,1,0
Araucaria_angustifolia,0,1,0,0,0,0
