Long10 Lat10
AtlAL001 -35.23 -9.02
AtlAL002 -35.5 -9.38
AtlAL003 -35.6 -9.53
AtlAL004 -36.06 -10.08
AtlAL005 -36.27 -10.26
AtlAL006 -35.3 -9.15
AtlAL007 -35.43 -9.31
AtlAL008 -35.78 -9.66
AtlAL009 -35.93 -9.84
AtlAL010 -36.38 -10.42
AtlAL011 -35.67 -9.52
AtlBA001 -37.6 -11.89
AtlBA002 -37.71 -12.13
AtlBA003 -37.82 -12.29
AtlBA004 -38.02 -12.59
AtlBA005 -38.36 -12.94
AtlBA006 -38.76 -13.11
AtlBA007 -38.95 -13.22
AtlBA008 -38.94 -13.41
AtlBA009 -38.93 -13.6
AtlBA010 -38.98 -14.1
AtlBA011 -39.01 -14.26
AtlBA012 -39.03 -14.48
AtlBA013 -39.07 -14.71
AtlBA015 -38.95 -16.03
AtlBA016 -39.04 -16.3
AtlBA017 -39.09 -16.52
AtlBA018 -39.15 -16.79
AtlBA019 -39.22 -17.2
AtlBA020 -39.21 -17.73
AtlBA021 -37.44 -11.53
AtlBA022 -38.61 -12.73
AtlBA023 -39.06 -13.5
AtlBA024 -39.1 -13.95
AtlBA025 -38.98 -15.36
AtlBA026 -38.91 -15.74
AtlBA027 -39.2 -17.56
AtlBA028 -39.39 -17.89
AtlBA029 -39.56 -18.11
AtlBA030 -38.35 -12.68
AtlBA031 -38.11 -11.71
AtlBA032 -38.7 -11.79
AtlBA033 -38.47 -11.84
AtlBA034 -39.49 -17.67
AtlBA035 -39.89 -18.17
AtlCE001 -39.29 -3.25
AtlCE002 -38.82 -3.57
AtlCE003 -38.35 -3.92
AtlCE004 -40.13 -2.83
AtlCE005 -41.09 -2.9
AtlCE006 -38.63 -3.74
AtlCE007 -40.56 -2.83
AtlCE008 -38.08 -4.23
AtlCE009 -37.72 -4.53
AtlCE010 -38.69 -3.7
AtlCE011 -38.47 -3.9
AtlCE012 -38.89 -3.6
AtlCE013 -38.4 -4.06
AtlCE014 -37.71 -4.64
AtlES001 -39.72 -18.42
AtlES002 -39.76 -18.8
AtlES003 -39.87 -19.15
AtlES004 -39.73 -19.2
AtlES005 -39.71 -19.39
AtlES006 -39.91 -19.68
AtlES007 -40.28 -20.27
AtlES008 -40.33 -20.41
AtlES009 -40.38 -20.52
AtlES010 -40.43 -20.62
AtlES011 -40.72 -20.85
AtlES012 -40.77 -20.93
AtlES013 -39.75 -18.59
AtlES014 -40.06 -19.82
AtlES015 -40.21 -20.04
AtlES016 -40.53 -20.69
AtlES017 -40.59 -20.79
AtlES018 -40.82 -20.97
AtlES020 -40.97 -21.25
AtlES021 -39.82 -18.24
AtlES022 -39.9 -18.59
AtlES023 -40.01 -19.01
AtlES024 -39.93 -19.14
AtlMA001 -43.27 -2.5
AtlMA002 -42.84 -2.67
AtlMA003 -42.4 -2.76
AtlMA004 -42.07 -2.73
AtlPB001 -34.98 -6.5
AtlPB002 -34.96 -6.65
AtlPB003 -34.83 -7
AtlPB004 -34.8 -7.37
AtlPB005 -34.95 -6.77
AtlPB006 -34.81 -7.24
AtlPB007 -34.99 -6.55
AtlPB008 -34.85 -7.52
AtlPE002 -34.84 -7.81
AtlPE003 -34.84 -7.95
AtlPE004 -34.95 -8.36
AtlPE005 -35.02 -8.53
AtlPE006 -35.14 -8.87
AtlPE007 -34.84 -7.57
AtlPE008 -34.9 -8.1
AtlPE009 -35.09 -8.67
AtlPE010 -34.91 -7.78
AtlPE011 -34.97 -8.18
AtlPI001 -41.82 -2.77
