,Long10,Lat10
AtlMG018,-43.2072,-19.4222
AtlMG046,-42.96611111,-18.24222222
AtlMG054,-43.3633,-19.9019
AtlMG059,-43.1758,-20.4486
AtlMG060,-43.2856,-20.5503
AtlMG064,-43.4811,-20.0925
AtlMG066,-43.5006,-20.4336
AtlMG069,-43.3342,-18.2314
AtlMG070,-43.4575,-20.0792
AtlMG071,-43.4725,-20.4325
AtlMG076,-44.2278,-17.7608
AtlMG077,-43.1033,-18.1025
AtlMG078,-43.5969,-18.2575
AtlMG079,-43.9961,-18.3197
AtlMG080,-43.3625,-18.4319
AtlMG081,-43.695,-18.4375
AtlMG082,-43.6864,-18.9289
AtlMG083,-43.6514,-19.1606
AtlMG084,-43.5467,-19.2614
AtlMG086,-43.6778,-19.8156
AtlMG087,-43.8972,-19.9358
AtlMG088,-43.6136,-19.9511
AtlMG089,-44.0378,-20.0664
AtlMG091,-43.9133,-20.1378
AtlMG092,-43.6458,-20.17
AtlMG093,-43.4567,-20.3608
AtlMG094,-43.6503,-20.5061
AtlMG105,-43.3961,-17.9997
AtlMG106,-43.7256,-18.0064
AtlMG107,-43.4494,-18.2656
AtlMG108,-43.2164,-18.3575
AtlMG109,-43.5317,-18.4842
AtlMG110,-43.5314,-18.9831
AtlMG111,-43.4231,-19.4061
AtlMG115,-43.8089,-19.8783
AtlMG117,-43.8842,-19.9789
AtlMG119,-43.5294,-20.0136
AtlMG120,-44.2647,-20.1778
AtlMG121,-43.3861,-20.3689
AtlMG122,-43.8675,-20.5192
AtlMG124,-43.3878,-18.5489
AtlMG125,-43.6822,-18.7819
AtlMG126,-43.4361,-19.2064
AtlMG128,-43.9731,-20.0139
AtlMG129,-43.6686,-20.0722
AtlMG130,-43.9967,-20.1369
AtlMG131,-43.8514,-20.2467
AtlMG132,-43.9694,-20.2703
AtlMG133,-43.5481,-20.2911
AtlMG134,-43.6694,-20.3372
AtlMG135,-43.7242,-20.4972
AtlMG136,-43.5394,-20.5922
AtlMG146,-44.2564,-17.625
AtlMG147,-43.8103,-17.8214
AtlMG149,-43.6278,-18.14
AtlMG150,-43.3522,-18.1658
AtlMG151,-43.7753,-18.4503
AtlMG152,-43.5731,-18.6353
AtlMG153,-43.8094,-18.8539
AtlMG154,-43.7092,-19.0475
AtlMG155,-43.5158,-19.24
AtlMG156,-43.7469,-19.8414
AtlMG157,-43.6958,-19.9472
AtlMG158,-43.9014,-19.9492
AtlMG160,-43.5119,-20.1808
AtlMG161,-43.8489,-20.2214
AtlMG162,-43.6911,-20.4861
AtlMG163,-43.5114,-20.4864
AtlMG164,-43.9897,-20.0803
AtlMG165,-43.6656,-20.1106
AtlMG166,-43.4547,-20.1419
AtlMG167,-43.9753,-20.1803
CerMG029,-44.1433,-17.68
CerMG030,-43.9075,-18.865
CerMG031,-43.7411,-19.1133
CerMG032,-43.5894,-19.3828
CerMG034,-43.6169,-19.3081
CerMG046,-43.3569,-18.0622
CerMG052,-43.7489,-17.9842
CerMG053,-43.5364,-18.0919
CerMG054,-43.8539,-18.8733
CerMG055,-43.7089,-19.14
CerMG056,-43.6136,-19.3544
CerMG057,-44.2006,-17.9119
CerMG058,-43.8072,-18.5731
CerMG069,-44.5683,-17.9339
CerMG109,-44.1906,-18.2914
