"","w.endemism","Biome","spp.alpha","endemism","Long10","Lat10"
"Cell_76",0.0972341353692088,"Tropical Dry Forest",2,NA,-73.16078704,11.08988246
"Cell_131",0.0978481922162271,"Tropical Moist Forest",3,NA,-75.16078704,10.08988246
"Cell_195",0.0125719297964932,"Savanna",2,NA,-68.16078704,9.08988246
"Cell_196",0.00728507794741186,"Savanna",2,NA,-67.16078704,9.08988246
"Cell_199",0.00395080743806966,"Savanna",2,NA,-64.16078704,9.08988246
"Cell_200",0.00586164755542359,"Savanna",3,NA,-63.16078704,9.08988246
"Cell_201",0.00326160640720757,"Savanna",2,NA,-62.16078704,9.08988246
"Cell_254",0.0209616994047714,"Savanna",5,NA,-66.16078704,8.08988246
"Cell_257",0.00395080743806966,"Savanna",2,NA,-63.16078704,8.08988246
"Cell_258",0.00658865730223166,"Tropical Moist Forest",2,NA,-62.16078704,8.08988246
"Cell_302",0.0153635938171158,"Tropical Moist Forest",2,NA,-75.16078704,7.08988246
"Cell_305",0.00326160640720757,"Tropical Moist Forest",2,NA,-72.16078704,7.08988246
"Cell_306",0.0280369598895661,"Tropical Dry Forest",4,NA,-71.16078704,7.08988246
"Cell_310",0.0164498410102643,"Savanna",2,NA,-67.16078704,7.08988246
"Cell_311",0.00395080743806966,"Savanna",2,NA,-66.16078704,7.08988246
"Cell_314",0.0189004848562016,"Savanna",3,NA,-63.16078704,7.08988246
"Cell_358",0.0218328236120128,"Tropical Moist Forest",4,NA,-76.16078704,6.08988246
"Cell_359",0.00720271414925005,"Tropical Moist Forest",3,NA,-75.16078704,6.08988246
"Cell_360",0.00326160640720757,"Tropical Moist Forest",2,NA,-74.16078704,6.08988246
"Cell_362",0.00886329373129462,"Tropical Moist Forest",3,NA,-72.16078704,6.08988246
"Cell_363",0.0164498410102643,"Savanna",2,NA,-71.16078704,6.08988246
"Cell_364",0.00192053981338111,"Savanna",2,NA,-70.16078704,6.08988246
"Cell_366",0.00192053981338111,"Savanna",2,NA,-68.16078704,6.08988246
"Cell_367",0.0204006484483339,"Savanna",3,NA,-67.16078704,6.08988246
"Cell_376",0.00518214622058868,"Tropical Moist Forest",3,NA,-58.16078704,6.08988246
"Cell_414",0.00455838967754311,"Tropical Moist Forest",2,NA,-77.16078704,5.08988246
"Cell_415",0.0995752977069124,"Tropical Moist Forest",3,NA,-76.16078704,5.08988246
"Cell_416",0.0213111185072408,"Tropical Moist Forest",6,NA,-75.16078704,5.08988246
"Cell_417",0.0077634161752109,"Tropical Moist Forest",2,NA,-74.16078704,5.08988246
"Cell_418",0.0162629135947965,"Tropical Moist Forest",4,NA,-73.16078704,5.08988246
"Cell_420",0.0119203655177304,"Savanna",2,NA,-71.16078704,5.08988246
"Cell_431",0.00245064384593736,"Tropical Moist Forest",2,NA,-60.16078704,5.08988246
"Cell_432",0.0800307526105069,"Tropical Moist Forest",4,NA,-59.16078704,5.08988246
"Cell_433",0.00639175158797984,"Tropical Moist Forest",3,NA,-58.16078704,5.08988246
"Cell_434",0.00245064384593736,"Tropical Moist Forest",2,NA,-57.16078704,5.08988246
"Cell_435",0.00245064384593736,"Tropical Moist Forest",2,NA,-56.16078704,5.08988246
"Cell_436",0.0157211474550608,"Tropical Moist Forest",5,NA,-55.16078704,5.08988246
"Cell_438",0.0183703808236454,"Tropical Moist Forest",3,NA,-53.16078704,5.08988246
"Cell_472",0.0218328236120128,"Tropical Moist Forest",4,NA,-76.16078704,4.08988246
"Cell_473",0.0109404415694958,"Tropical Dry Forest",4,NA,-75.16078704,4.08988246
"Cell_474",0.13113957482801,"Andean Grasslands",7,NA,-74.16078704,4.08988246
"Cell_475",0.0577204142413354,"Savanna",6,NA,-73.16078704,4.08988246
"Cell_477",0.0114013617832501,"Savanna",3,NA,-71.16078704,4.08988246
"Cell_487",0.00245064384593736,"Savanna",2,NA,-61.16078704,4.08988246
"Cell_489",0.0839718603525494,"Tropical Moist Forest",5,NA,-59.16078704,4.08988246
"Cell_494",0.00394110774204248,"Tropical Moist Forest",2,NA,-54.16078704,4.08988246
"Cell_496",0.00741855574972702,"Tropical Moist Forest",2,NA,-52.16078704,4.08988246
"Cell_529",0.00813975537604254,"Andean Grasslands",2,NA,-76.16078704,3.08988246
"Cell_530",0.0966168534337081,"Tropical Dry Forest",2,NA,-75.16078704,3.08988246
"Cell_531",0.0438843519463642,"Tropical Moist Forest",6,NA,-74.16078704,3.08988246
"Cell_532",0.00525481032272331,"Savanna",2,NA,-73.16078704,3.08988246
"Cell_533",0.0423364440916112,"Savanna",2,NA,-72.16078704,3.08988246
"Cell_543",0.00436148396329129,"Tropical Moist Forest",3,NA,-62.16078704,3.08988246
"Cell_544",0.0218602295342192,"Savanna",5,NA,-61.16078704,3.08988246
"Cell_545",0.126326957351734,"Savanna",8,NA,-60.16078704,3.08988246
"Cell_546",0.124970576586577,"Tropical Moist Forest",9,NA,-59.16078704,3.08988246
"Cell_588",0.0582352827719418,"Tropical Moist Forest",4,NA,-74.16078704,2.08988246
"Cell_589",0.0531982281407236,"Tropical Moist Forest",3,NA,-73.16078704,2.08988246
"Cell_590",0.0531982281407236,"Tropical Moist Forest",3,NA,-72.16078704,2.08988246
"Cell_601",0.0756789683432428,"Savanna",2,NA,-61.16078704,2.08988246
"Cell_602",0.0145429315598184,"Tropical Moist Forest",2,NA,-60.16078704,2.08988246
"Cell_603",0.0260661352962789,"Tropical Moist Forest",5,NA,-59.16078704,2.08988246
"Cell_606",0.0157211474550608,"Tropical Moist Forest",5,NA,-56.16078704,2.08988246
"Cell_611",0.0315394481568117,"Tropical Moist Forest",5,NA,-51.16078704,2.08988246
"Cell_668",0.020921052784863,"Savanna",3,NA,-51.16078704,1.08988246
"Cell_697",0.00326160640720757,"Tropical Moist Forest",2,NA,-79.16078704,0.0898824600000001
"Cell_725",0.0132802033051506,"Savanna",4,NA,-51.16078704,0.0898824600000001
"Cell_756",0.0153635938171158,"Tropical Moist Forest",2,NA,-77.16078704,-0.91011754
"Cell_784",0.00525481032272331,"Tropical Moist Forest",2,NA,-49.16078704,-0.91011754
"Cell_785",0.0213503751186206,"Tropical Moist Forest",3,NA,-48.16078704,-0.91011754
"Cell_786",0.024562959735048,"Tropical Moist Forest",4,NA,-47.16078704,-0.91011754
"Cell_810",0.151897669821381,"Tropical Dry Forest",4,NA,-80.16078704,-1.91011754
"Cell_811",0.128762997305549,"Tropical Moist Forest",2,NA,-79.16078704,-1.91011754
"Cell_812",0.027024738802577,"Tropical Moist Forest",2,NA,-78.16078704,-1.91011754
"Cell_842",0.0133004529221083,"Tropical Moist Forest",2,NA,-48.16078704,-1.91011754
"Cell_867",0.206667318876107,"Tropical Moist Forest",6,NA,-80.16078704,-2.91011754
"Cell_886",0.00455838967754311,"Tropical Moist Forest",2,NA,-61.16078704,-2.91011754
"Cell_887",0.00455838967754311,"Tropical Moist Forest",2,NA,-60.16078704,-2.91011754
"Cell_892",0.00700903352348047,"Tropical Moist Forest",3,NA,-55.16078704,-2.91011754
"Cell_899",0.00578491435527956,"Tropical Moist Forest",2,NA,-48.16078704,-2.91011754
"Cell_903",0.0252816779465057,"Tropical Moist Forest",5,NA,-44.16078704,-2.91011754
"Cell_905",0.00639175158797984,"Tropical Moist Forest",3,NA,-42.16078704,-2.91011754
"Cell_924",0.149986829704027,"Tropical Moist Forest",3,NA,-80.16078704,-3.91011754
"Cell_925",0.27745010217502,"Tropical Moist Forest",7,NA,-79.16078704,-3.91011754
"Cell_934",0.00326160640720757,"Tropical Moist Forest",2,NA,-70.16078704,-3.91011754
"Cell_960",0.00525481032272331,"Tropical Moist Forest",2,NA,-44.16078704,-3.91011754
"Cell_962",0.0323916783868887,"Tropical Moist Forest",4,NA,-42.16078704,-3.91011754
"Cell_963",0.0222840849159813,"Tropical Dry Forest",3,NA,-41.16078704,-3.91011754
"Cell_964",0.0171303194740363,"Tropical Dry Forest",3,NA,-40.16078704,-3.91011754
"Cell_965",0.0407568215274637,"Tropical Dry Forest",3,NA,-39.16078704,-3.91011754
"Cell_996",0.00379171043976382,"Tropical Moist Forest",2,NA,-65.16078704,-4.91011754
"Cell_998",0.00326160640720757,"Tropical Moist Forest",2,NA,-63.16078704,-4.91011754
"Cell_1012",0.00395080743806966,"Tropical Moist Forest",2,NA,-49.16078704,-4.91011754
"Cell_1014",0.00447121177459873,"Tropical Moist Forest",2,NA,-47.16078704,-4.91011754
"Cell_1018",0.0328023549121104,"Tropical Moist Forest",6,NA,-43.16078704,-4.91011754
"Cell_1019",0.0257118590819119,"Tropical Moist Forest",5,NA,-42.16078704,-4.91011754
"Cell_1020",0.204394164353529,"Tropical Dry Forest",4,NA,-41.16078704,-4.91011754
"Cell_1068",0.0250978778723868,"Tropical Moist Forest",5,NA,-50.16078704,-5.91011754
"Cell_1070",0.0164634713731995,"Tropical Moist Forest",3,NA,-48.16078704,-5.91011754
"Cell_1078",0.0125719297964932,"Tropical Dry Forest",2,NA,-40.16078704,-5.91011754
"Cell_1079",0.019046181774205,"Tropical Dry Forest",4,NA,-39.16078704,-5.91011754
"Cell_1080",0.0645093532088968,"Tropical Dry Forest",6,NA,-38.16078704,-5.91011754
"Cell_1081",0.162030516218043,"Tropical Dry Forest",7,NA,-37.16078704,-5.91011754
"Cell_1082",0.0658707202126868,"Tropical Dry Forest",3,NA,-36.16078704,-5.91011754
"Cell_1083",0.0251697969677483,"Tropical Moist Forest",4,NA,-35.16078704,-5.91011754
"Cell_1097",0.337809235032213,"Tropical Moist Forest",4,NA,-78.16078704,-6.91011754
"Cell_1125",0.00782969578077786,"Tropical Moist Forest",3,NA,-50.16078704,-6.91011754
"Cell_1127",0.00965335799518741,"Tropical Moist Forest",4,NA,-48.16078704,-6.91011754
"Cell_1128",0.0449043423220186,"Savanna",6,NA,-47.16078704,-6.91011754
"Cell_1129",0.00996618241276608,"Savanna",2,NA,-46.16078704,-6.91011754
"Cell_1130",0.0182590744220727,"Savanna",5,NA,-45.16078704,-6.91011754
"Cell_1132",0.00395080743806966,"Savanna",2,NA,-43.16078704,-6.91011754
"Cell_1133",0.0180161046092784,"Savanna",3,NA,-42.16078704,-6.91011754
"Cell_1134",0.00455838967754311,"Tropical Dry Forest",2,NA,-41.16078704,-6.91011754
"Cell_1136",0.0648439885997949,"Tropical Dry Forest",8,NA,-39.16078704,-6.91011754
"Cell_1137",0.0622270370330104,"Tropical Dry Forest",7,NA,-38.16078704,-6.91011754
"Cell_1138",0.124294666064638,"Tropical Dry Forest",11,NA,-37.16078704,-6.91011754
"Cell_1139",0.0354114110267624,"Tropical Dry Forest",5,NA,-36.16078704,-6.91011754
"Cell_1140",0.0189986733622319,"Tropical Moist Forest",5,NA,-35.16078704,-6.91011754
"Cell_1185",0.00245064384593736,"Savanna",2,NA,-47.16078704,-7.91011754
"Cell_1187",0.0116786034370612,"Savanna",3,NA,-45.16078704,-7.91011754
"Cell_1193",0.0267264693612234,"Tropical Dry Forest",6,NA,-39.16078704,-7.91011754
"Cell_1194",0.0151993349578549,"Tropical Dry Forest",2,NA,-38.16078704,-7.91011754
"Cell_1195",0.0697797864283712,"Tropical Dry Forest",4,NA,-37.16078704,-7.91011754
"Cell_1196",0.0448878609993557,"Tropical Moist Forest",5,NA,-36.16078704,-7.91011754
"Cell_1197",0.0142948653694422,"Tropical Moist Forest",3,NA,-35.16078704,-7.91011754
"Cell_1215",0.724295333644334,"Tropical Moist Forest",6,1,-74.16078704,-8.91011754
"Cell_1225",0.00192053981338111,"Tropical Moist Forest",2,NA,-64.16078704,-8.91011754
"Cell_1247",0.0505466629319012,"Tropical Dry Forest",3,NA,-42.16078704,-8.91011754
"Cell_1248",0.0282457605866852,"Tropical Dry Forest",3,NA,-41.16078704,-8.91011754
"Cell_1249",0.103166276712937,"Tropical Dry Forest",10,NA,-40.16078704,-8.91011754
"Cell_1250",0.0183012359515536,"Tropical Dry Forest",3,NA,-39.16078704,-8.91011754
"Cell_1251",0.144051335925383,"Tropical Dry Forest",7,NA,-38.16078704,-8.91011754
"Cell_1252",0.0256067918892472,"Tropical Dry Forest",4,NA,-37.16078704,-8.91011754
"Cell_1253",0.015608567950123,"Tropical Moist Forest",4,NA,-36.16078704,-8.91011754
"Cell_1254",0.00975662009072664,"Tropical Moist Forest",2,NA,-35.16078704,-8.91011754
"Cell_1281",0.040275578473518,"Tropical Moist Forest",3,NA,-65.16078704,-9.91011754
"Cell_1283",0.0391854006134615,"Tropical Moist Forest",2,NA,-63.16078704,-9.91011754
"Cell_1297",0.00379171043976382,"Tropical Moist Forest",2,NA,-49.16078704,-9.91011754
"Cell_1303",0.302901400852206,"Tropical Dry Forest",7,NA,-43.16078704,-9.91011754
"Cell_1304",0.0380589605869516,"Tropical Dry Forest",5,NA,-42.16078704,-9.91011754
"Cell_1305",0.628488958204531,"Tropical Dry Forest",11,1,-41.16078704,-9.91011754
"Cell_1306",0.0505466629319012,"Tropical Dry Forest",3,NA,-40.16078704,-9.91011754
"Cell_1307",0.0191855077079887,"Tropical Dry Forest",2,NA,-39.16078704,-9.91011754
"Cell_1308",0.0328515721472273,"Tropical Dry Forest",5,NA,-38.16078704,-9.91011754
"Cell_1309",0.0144827699138472,"Tropical Dry Forest",3,NA,-37.16078704,-9.91011754
"Cell_1310",0.00788221548408496,"Tropical Moist Forest",2,NA,-36.16078704,-9.91011754
"Cell_1335",0.00741855574972702,"Tropical Moist Forest",2,NA,-68.16078704,-10.91011754
"Cell_1337",0.0140128275272622,"Tropical Moist Forest",2,NA,-66.16078704,-10.91011754
"Cell_1349",0.00327130610323475,"Tropical Moist Forest",2,NA,-54.16078704,-10.91011754
"Cell_1356",0.0172736021905088,"Savanna",2,NA,-47.16078704,-10.91011754
"Cell_1357",0.00245064384593736,"Savanna",2,NA,-46.16078704,-10.91011754
"Cell_1358",0.0190874594907611,"Savanna",4,NA,-45.16078704,-10.91011754
"Cell_1360",0.131991583253367,"Savanna",11,NA,-43.16078704,-10.91011754
"Cell_1361",0.086804854158692,"Tropical Dry Forest",2,NA,-42.16078704,-10.91011754
"Cell_1362",0.0402904898292325,"Tropical Dry Forest",5,NA,-41.16078704,-10.91011754
"Cell_1363",0.093146747650353,"Tropical Dry Forest",8,NA,-40.16078704,-10.91011754
"Cell_1364",0.0282457605866852,"Tropical Dry Forest",3,NA,-39.16078704,-10.91011754
"Cell_1365",0.0507213790761844,"Tropical Dry Forest",7,NA,-38.16078704,-10.91011754
"Cell_1366",0.0907669440366318,"Tropical Moist Forest",10,NA,-37.16078704,-10.91011754
"Cell_1412",0.0172736021905088,"Savanna",2,NA,-48.16078704,-11.91011754
"Cell_1413",0.0104865867492952,"Savanna",2,NA,-47.16078704,-11.91011754
"Cell_1414",0.00996618241276608,"Savanna",2,NA,-46.16078704,-11.91011754
"Cell_1415",0.0142739670720648,"Savanna",4,NA,-45.16078704,-11.91011754
"Cell_1417",0.0395299251772594,"Tropical Dry Forest",6,NA,-43.16078704,-11.91011754
"Cell_1418",0.0951380438574304,"Savanna",4,NA,-42.16078704,-11.91011754
"Cell_1419",0.205844671891452,"Tropical Dry Forest",7,NA,-41.16078704,-11.91011754
"Cell_1420",0.0873464285513234,"Tropical Dry Forest",4,NA,-40.16078704,-11.91011754
"Cell_1421",0.0242855252113132,"Tropical Dry Forest",5,NA,-39.16078704,-11.91011754
"Cell_1422",0.0219906198420757,"Tropical Moist Forest",5,NA,-38.16078704,-11.91011754
"Cell_1465",0.0637737993226151,"Tropical Moist Forest",7,NA,-52.16078704,-12.91011754
"Cell_1469",0.0289392365790073,"Savanna",7,NA,-48.16078704,-12.91011754
"Cell_1470",0.00639175158797984,"Savanna",3,NA,-47.16078704,-12.91011754
"Cell_1471",0.0204570487591886,"Savanna",4,NA,-46.16078704,-12.91011754
"Cell_1473",0.00327130610323475,"Tropical Dry Forest",2,NA,-44.16078704,-12.91011754
"Cell_1474",0.07223239088248,"Tropical Dry Forest",6,NA,-43.16078704,-12.91011754
"Cell_1475",0.186480097181322,"Tropical Dry Forest",11,NA,-42.16078704,-12.91011754
"Cell_1476",0.273446401382568,"Tropical Dry Forest",13,NA,-41.16078704,-12.91011754
"Cell_1477",0.0637818939363783,"Tropical Dry Forest",6,NA,-40.16078704,-12.91011754
