;Long10;Lat10;Biome;spp.alpha;w.endemism
Cell_76;-73.16078704;11.08988246;Tropical Dry Forest;2;0.097234135
Cell_131;-75.16078704;10.08988246;Tropical Moist Forest;3;0.097848192
Cell_195;-68.16078704;9.08988246;Savanna;2;0.01257193
Cell_196;-67.16078704;9.08988246;Savanna;2;0.007285078
Cell_199;-64.16078704;9.08988246;Savanna;2;0.003950807
Cell_200;-63.16078704;9.08988246;Savanna;3;0.005861648
Cell_201;-62.16078704;9.08988246;Savanna;2;0.003261606
Cell_254;-66.16078704;8.08988246;Savanna;5;0.020961699
Cell_257;-63.16078704;8.08988246;Savanna;2;0.003950807
Cell_258;-62.16078704;8.08988246;Tropical Moist Forest;2;0.006588657
Cell_302;-75.16078704;7.08988246;Tropical Moist Forest;2;0.015363594
Cell_305;-72.16078704;7.08988246;Tropical Moist Forest;2;0.003261606
Cell_306;-71.16078704;7.08988246;Tropical Dry Forest;4;0.02803696
Cell_310;-67.16078704;7.08988246;Savanna;2;0.016449841
Cell_311;-66.16078704;7.08988246;Savanna;2;0.003950807
Cell_314;-63.16078704;7.08988246;Savanna;3;0.018900485
Cell_358;-76.16078704;6.08988246;Tropical Moist Forest;4;0.021832824
Cell_359;-75.16078704;6.08988246;Tropical Moist Forest;3;0.007202714
Cell_360;-74.16078704;6.08988246;Tropical Moist Forest;2;0.003261606
Cell_362;-72.16078704;6.08988246;Tropical Moist Forest;3;0.008863294
Cell_363;-71.16078704;6.08988246;Savanna;2;0.016449841
Cell_364;-70.16078704;6.08988246;Savanna;2;0.00192054
Cell_366;-68.16078704;6.08988246;Savanna;2;0.00192054
Cell_367;-67.16078704;6.08988246;Savanna;3;0.020400648
Cell_376;-58.16078704;6.08988246;Tropical Moist Forest;3;0.005182146
Cell_414;-77.16078704;5.08988246;Tropical Moist Forest;2;0.00455839
Cell_415;-76.16078704;5.08988246;Tropical Moist Forest;3;0.099575298
Cell_416;-75.16078704;5.08988246;Tropical Moist Forest;6;0.021311119
Cell_417;-74.16078704;5.08988246;Tropical Moist Forest;2;0.007763416
Cell_418;-73.16078704;5.08988246;Tropical Moist Forest;4;0.016262914
Cell_420;-71.16078704;5.08988246;Savanna;2;0.011920366
Cell_431;-60.16078704;5.08988246;Tropical Moist Forest;2;0.002450644
Cell_432;-59.16078704;5.08988246;Tropical Moist Forest;4;0.080030753
Cell_433;-58.16078704;5.08988246;Tropical Moist Forest;3;0.006391752
Cell_434;-57.16078704;5.08988246;Tropical Moist Forest;2;0.002450644
